
B261: ***** 28.0%
B262: ** 14.0%
B263: ******** 42.0%
B264: ***** 28.0%
B265: ***************** 85.0%
B266: ** 14.0%
B267: ** 14.0%
B268: ** 14.0%
B269: ** 14.0%
B270: ** 14.0%
B271: ** 14.0%
B272: ** 14.0%
B273:  0.0%
B274: ***** 28.0%
B275:  0.0%
B276: ** 14.0%
B277: ** 14.0%
B278: ** 14.0%
B279: ***** 28.0%
B280: ***** 28.0%
B281: ***** 28.0%
B282: ***** 28.0%
B283:  0.0%
B284: ** 14.0%
B285: ** 14.0%
B286: ************** 71.0%
B287: *********** 57.0%
B288: ** 14.0%
B289: ******** 42.0%
B290: ******** 42.0%
B291: *********** 57.0%
B292:  0.0%
B293: ** 14.0%
B294: ** 14.0%
B295: ** 14.0%
B296: ***** 28.0%
B297:  0.0%
B298:  0.0%
B299: *********** 57.0%
B300: ***** 28.0%
B301:  0.0%
B302: ******** 42.0%
B303: ** 14.0%
B304: ***** 28.0%
B305: ***** 28.0%
B306: ***** 28.0%
B307: ** 14.0%
B308:  0.0%
B309:  0.0%
B310: ***** 28.0%
B311: ** 14.0%
B312:  0.0%
B313:  0.0%
B314: ** 14.0%
B315: ***** 28.0%
B316: ** 14.0%
B317: ** 14.0%
B318:  0.0%
B319:  0.0%
B320: ** 14.0%
B321:  0.0%
B322: ** 14.0%
B323:  0.0%
B324: ** 14.0%
B325: ***** 28.0%
B326: *********** 57.0%
B327: ***** 28.0%
B328: ** 14.0%
B329: ***** 28.0%
B330: ** 14.0%
B331: ** 14.0%
B332:  0.0%
B333: ***** 28.0%
B334: ******** 42.0%
B335: ******** 42.0%
B336: ** 14.0%
B337: *********** 57.0%
B338:  0.0%
B339: ***** 28.0%
B340:  0.0%
B341:  0.0%
B342: ** 14.0%
B343:  0.0%
B344: ******** 42.0%
B345: ** 14.0%
B346:  0.0%
B347: ** 14.0%
B348: ** 14.0%
B349: ** 14.0%
B350: ***** 28.0%
B351: ***** 28.0%
B352: ******** 42.0%
B353: ** 14.0%
B354:  0.0%
B355: ** 14.0%
B356: *********** 57.0%
B357: ******** 42.0%
B358: ** 14.0%
B359: ******** 42.0%
B360: ** 14.0%
B361: ***** 28.0%
B362: ** 14.0%
B363: ** 14.0%
B364: ***** 28.0%
B365:  0.0%
B366: ***** 28.0%
B367: ***** 28.0%
B368:  0.0%
B369: ***** 28.0%
B370: ** 14.0%
B371:  0.0%
B372: ******** 42.0%
B373:  0.0%
B374: ***** 28.0%
B375: ** 14.0%
B376: ************** 71.0%
B377: ***** 28.0%
B378: ******** 42.0%
B379: ******** 42.0%
B380: ******** 42.0%
B381: ***** 28.0%
B382: ** 14.0%
B383: ** 14.0%
B384: ** 14.0%
B385:  0.0%
B386:  0.0%
B387: ***** 28.0%
B388:  0.0%
B389: ******** 42.0%
B390: ** 14.0%
B391:  0.0%
B392:  0.0%
B393: ***** 28.0%
B394: ***** 28.0%
B395: ***** 28.0%
B396:  0.0%
B397: ** 14.0%
B398: ***** 28.0%
B399: ** 14.0%
B400:  0.0%
B401:  0.0%
B402: ******** 42.0%
B403: ** 14.0%
B404:  0.0%
B405: ** 14.0%
B406: *********** 57.0%
B407: ** 14.0%
B408: ******** 42.0%
B409: ***** 28.0%
B410: ******** 42.0%
B411: ******** 42.0%
B412:  0.0%
B413: ** 14.0%
B414:  0.0%
B415: ** 14.0%
B416:  0.0%
B417: ** 14.0%
B418: ** 14.0%
B419: ******** 42.0%
B420: ***** 28.0%
B421: ***** 28.0%
B422:  0.0%
B423: *********** 57.0%
B424: ***** 28.0%
B425:  0.0%
B426:  0.0%
B427:  0.0%
B428:  0.0%
B429: ** 14.0%
B430:  0.0%
B431: ** 14.0%
B432: ***** 28.0%
B433: ** 14.0%
B434: ******** 42.0%
B435: ** 14.0%
B436:  0.0%
B437: ** 14.0%
B438: ** 14.0%
B439: ******** 42.0%
B440: ** 14.0%
B441: ** 14.0%
B442:  0.0%
B443:  0.0%
B444:  0.0%
B445: ******** 42.0%
B446: ** 14.0%
B447: ***** 28.0%
B448:  0.0%
B449:  0.0%
B450: ** 14.0%
B451:  0.0%
B452:  0.0%
B453: *********** 57.0%
B454: ** 14.0%
B455:  0.0%
B456:  0.0%
B457:  0.0%
B458: ** 14.0%
B459: ***** 28.0%
B460: ** 14.0%
B461: ** 14.0%
B462: ******** 42.0%
B463: ***** 28.0%
B464: ***** 28.0%
B465: ******** 42.0%
B466: ** 14.0%
B467: ** 14.0%
B468:  0.0%
B469: ***** 28.0%
B470: ** 14.0%
B471: ***** 28.0%
B472: ***** 28.0%
B473:  0.0%
B474: ***** 28.0%
B475:  0.0%
B476: ** 14.0%
B477:  0.0%
B478: ***** 28.0%
B479:  0.0%
B480: ** 14.0%
B481:  0.0%
B482: ***** 28.0%
B483: ******** 42.0%
B484: ** 14.0%
B485: ** 14.0%
B486:  0.0%
B487:  0.0%
B488: ***** 28.0%
B489: ** 14.0%
B490:  0.0%
B491: ***** 28.0%
B492:  0.0%
B493:  0.0%
B494:  0.0%
B495: ***** 28.0%
B496:  0.0%
B497: ** 14.0%
B498: ******** 42.0%
B499:  0.0%
B500: ******** 42.0%
B501: ******** 42.0%
B502:  0.0%
B503:  0.0%
B504: ** 14.0%
B505:  0.0%
B506: ** 14.0%
B507:  0.0%
B508: ** 14.0%
B509: ** 14.0%
B510: ** 14.0%
B511:  0.0%
B512:  0.0%
B513: ***** 28.0%
B514: ** 14.0%
B515: *********** 57.0%
B516:  0.0%
B517: ***** 28.0%
B518: ******** 42.0%
B519: ** 14.0%
B520: ** 14.0%
B521: ** 14.0%
B522: ***** 28.0%
B523: ***** 28.0%
B524: ** 14.0%
B525: ** 14.0%
B526: ***** 28.0%
B527: ** 14.0%
B528: ***** 28.0%
B529: ***** 28.0%
B530: ******** 42.0%
B531: ** 14.0%
B532:  0.0%
B533: ** 14.0%
B534: ***** 28.0%
B535: ** 14.0%
B536: ***** 28.0%
B537:  0.0%
B538:  0.0%
B539: ** 14.0%
B540: ** 14.0%
B541: ** 14.0%
B542: ** 14.0%
B543: ***** 28.0%
B544:  0.0%
B545: ** 14.0%
B546: ***** 28.0%
B547:  0.0%
B548: ******** 42.0%
B549: ***** 28.0%
B550: ** 14.0%
B551: ***** 28.0%
B552: ** 14.0%
B553: ** 14.0%
B554: ** 14.0%
B555: ** 14.0%
B556: ***** 28.0%
B557:  0.0%
B558: ******** 42.0%
B559:  0.0%
B560: ** 14.0%
B561: ***** 28.0%
B562: ** 14.0%
B563: ** 14.0%
B564: ** 14.0%
B565: ** 14.0%
B566: ** 14.0%
B567:  0.0%
B568: ** 14.0%
B569: ***** 28.0%
B570: ***** 28.0%
B571: ** 14.0%
B572: ** 14.0%
B573: ** 14.0%
B574: ******** 42.0%
B575:  0.0%
B576: ***** 28.0%
B577: ***** 28.0%
B578: ***** 28.0%
B579:  0.0%
B580: ** 14.0%
B581:  0.0%
B582: ***** 28.0%
B583:  0.0%
B584: ***** 28.0%
B585:  0.0%
B586: ** 14.0%
B587:  0.0%
B588: ** 14.0%
B589: ** 14.0%
B590:  0.0%
B591: ***** 28.0%
B592:  0.0%
B593: ***** 28.0%
B594: ***** 28.0%
B595: ** 14.0%
B596:  0.0%
